                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2715,                 2.6909,                 1.6191,                0.00548,                      1,                0.85895,                 0.6324,                0.68082,                  2.888,                 1.1469,                0.00028,                0.00028,                0.00028
                      2,                 1.0764,                 1.8431,                 1.4875,                  0.005,                0.91304,                0.69834,                0.35987,                 1.2027,                 3.0957,                 1.5899,             0.00057713,             0.00057713,             0.00057713
                      3,                 1.0663,                 1.7181,                 1.4315,                      1,                0.28381,                0.72112,                0.34342,                 1.3825,                 2.9894,                 1.6957,             0.00087129,             0.00087129,             0.00087129
                      4,                 1.1272,                 1.6675,                  1.501,                0.42807,                0.08696,                0.16222,                0.05791,                 2.6248,                 3.6632,                 2.5494,              0.0011625,              0.0011625,              0.0011625
                      5,                 1.1425,                 1.7301,                 1.5087,                0.38994,                0.26087,                 0.2288,                0.05851,                 2.2944,                  3.691,                  2.701,              0.0014507,              0.0014507,              0.0014507
                      6,                 1.2779,                 1.8917,                 1.6425,                0.59348,                0.38139,                0.39613,                0.16249,                 1.8223,                 3.0798,                 2.0325,              0.0017359,              0.0017359,              0.0017359
                      7,                 1.2157,                 1.7645,                 1.5413,                0.45936,                0.62836,                0.60364,                 0.3156,                 1.4301,                 2.2134,                 2.1181,              0.0019406,              0.0019406,              0.0019406
                      8,                 1.1214,                 1.6066,                 1.4853,                0.65701,                0.78261,                0.75067,                0.41169,                 1.3329,                 1.7878,                 2.0344,              0.0019307,              0.0019307,              0.0019307
                      9,                 1.2136,                 1.5867,                 1.5762,                0.70811,                0.86957,                 0.7966,                0.44789,                 1.3197,                 1.9739,                 1.8762,              0.0019208,              0.0019208,              0.0019208
                     10,                 1.1331,                 1.5326,                 1.4983,                0.81785,                0.78094,                0.87102,                0.52972,                 1.2646,                 1.4344,                 1.8146,              0.0019109,              0.0019109,              0.0019109
                     11,                 1.2248,                 1.5604,                 1.5406,                0.78541,                0.82609,                0.80846,                0.44693,                 1.3514,                 1.6886,                 1.8248,               0.001901,               0.001901,               0.001901
                     12,                 1.2672,                 1.4915,                  1.608,                 0.5664,                0.65217,                0.59804,                0.32917,                 1.4733,                 2.0574,                  1.932,              0.0018911,              0.0018911,              0.0018911
                     13,                 1.1621,                 1.4502,                 1.5151,                  0.737,                0.82609,                0.71825,                    0.4,                 1.3707,                 1.8866,                 1.8797,              0.0018812,              0.0018812,              0.0018812
